idx,enriched,source_dataset,funder_institution,program_name,program_family,eligible_actor,instrument_type,amount_clp,amount_note,gpc_sectors,specificity,climate_relevance_norm,status,recurrence,open_date,close_date,access_pathway,detail_level,status_as_of,source_url,notes,fetch_status,enr_amount,enr_eligible_actor,enr_objetivo,enr_status,enr_dates,enr_geography,enr_funder,enr_other,doc_count,doc_links
10,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2024 – Conservación del Pudú en la provincia de Chiloé,FPA Fauna/biodiv especial,unspecified,grant,,,"[""afolu""]",sector-specific,explicit,closed,one-off,2024-08-28,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-pudu-conservacion/,FPA,,,,,,,,,,0,
11,no,cl-mma,Ministerio del Medio Ambiente (MMA),"FPA 2024 – Iniciativas Ciudadanas TSEJ, comuna de Huasco",FPA TSEJ (zonas),unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,one-off,2024-06-19,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-tsej-h/,FPA,,,,,,,,,,0,
12,no,cl-mma,Ministerio del Medio Ambiente (MMA),"FPA 2024 – Iniciativas Ciudadanas TSEJ, Concón, Quintero y Puchuncaví",FPA TSEJ (zonas),unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,one-off,2024-06-19,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-tsej-qpc/,FPA,,,,,,,,,,0,
13,no,cl-mma,Ministerio del Medio Ambiente (MMA),"FPA 2024 – Iniciativas Ciudadanas TSEJ, comuna de Coronel",FPA TSEJ (zonas),unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,one-off,2024-06-19,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-tsej-c/,FPA,,,,,,,,,,0,
14,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2024 – Fortalecimiento de Centros de Rehabilitación o Rescate de Fauna Silvestre,FPA Fauna/biodiv especial,unspecified,grant,,,"[""afolu""]",sector-specific,explicit,closed,one-off,2023-12-01,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-fortalecimiento-centros-rehabilitacion-rescate/,FPA,,,,,,,,,,0,
15,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2024 – Educación Ambiental para la Prevención de Incendios Forestales y Protección de la Biodiversidad,FPA Fauna/biodiv especial,unspecified,grant,,,"[""afolu""]",sector-specific,explicit,closed,one-off,2023-12-01,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-prevencion-incendios-forestales/,FPA,,,,,,,,,,0,
16,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2024 – Fortalecimiento para recicladores de base,FPR Reciclaje,unspecified,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2023-10-19,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-fortalecimiento-para-recicladores-de-base/,FPA,,,,,,,,,,0,
17,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2024 – Programa Modelo para la Formación de Líderes Ambientales Comunitarios,FPA Otros tematicos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2023-10-06,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-lideres-ambientales-comunitarios/,FPA,,,,,,,,,,0,
18,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2024 – Chiloé Reduce en tu Establecimiento Educacional,FPA Educacionales,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2023-09-27,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2024-chiloe-reduce-en-tu-establecimiento-educacional/,FPA,,,,,,,,,,0,
19,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2023 – Concurso EcoDesafíos,FPA Otros tematicos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2023-03-14,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2023-concurso-eco-desafios/,FPA,,,,,,,,,,0,
20,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2023 – Emprendimientos Circulares para Comunidades Chilotas,FPA Otros tematicos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2023-03-07,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2023-emprendimientos-circulares-para-comunidades-chilotas/,FPA,,,,,,,,,,0,
21,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2023 – Proyectos Sustentables para Pueblos Indígenas,FPA Pueblos Indígenas,indigenous community,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2022-08-23,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2023-proyectos-sustentables-para-pueblos-indigenas/,FPA,,,,,,,,,,0,
22,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2023 – Proyectos Sustentables en Establecimientos Educacionales,FPA Educacionales,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2022-08-23,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2023-proyectos-sustentables-en-establecimientos-educacionales/,FPA,,,,,,,,,,0,
23,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2023 – Proyectos Sustentables Ciudadanos,FPA Ciudadanos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2022-08-23,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2023-proyectos-sustentables-ciudadanos/,FPA,,,,,,,,,,0,
24,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Emprendimientos Verdes para Comunidades Indígenas,FPA Pueblos Indígenas,indigenous community,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2021-09-28,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/emprendimientos-verdes-para-comunidades-indigenas/,FPA,,,,,,,,,,0,
25,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Rapa Nui Sustentable,FPA Rapa Nui,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2021-09-07,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpa-2022-rapa-nui-sustentable/,FPA,,,,,,,,,,0,
26,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Áreas Verdes Comunitarias,FPA Areas verdes/Humedales,community/citizen org,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2021-08-15,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/areas-verdes-comunitarias/,FPA,,,,,,,,,,0,
27,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Conservación de Humedales Urbanos,FPA Areas verdes/Humedales,unspecified,grant,,,"[""afolu""]",sector-specific,explicit,closed,sporadic,2021-08-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/conservacion-de-humedales-urbanos/,FPA,,,,,,,,,,0,
28,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Iniciativas Sustentables para Fundaciones y Corporaciones,FPA Fundaciones/Corp,community/citizen org,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2021-08-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-para-fundaciones-y-corporaciones/,FPA,,,,,,,,,,0,
29,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Iniciativas Sustentables para Pueblos Indígenas,FPA Pueblos Indígenas,indigenous community,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2021-08-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-para-pueblos-indigenas/,FPA,,,,,,,,,,0,
30,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Iniciativas Sustentables en Establecimientos Educacionales,FPA Educacionales,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2021-08-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-en-establecimientos-educacionales/,FPA,,,,,,,,,,0,
31,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2022 – Iniciativas Sustentables Ciudadanas,FPA Ciudadanos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2021-08-05,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas/,FPA,,,,,,,,,,0,
32,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2021 – Iniciativas Sustentables en Establecimientos Educacionales,FPA Educacionales,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2020-12-15,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-en-establecimientos-educacionales-2021/,FPA,,,,,,,,,,0,
33,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2021 – Iniciativas Sustentables Fundaciones y Corporaciones,FPA Fundaciones/Corp,community/citizen org,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2020-12-15,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-fundaciones-y-corporaciones-2021/,FPA,,,,,,,,,,0,
34,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2021 – Áreas Verdes Comunitarias,FPA Areas verdes/Humedales,community/citizen org,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2020-12-15,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-4/,FPA,,,,,,,,,,0,
35,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2021 – Conservación de Humedales Urbanos,FPA Areas verdes/Humedales,unspecified,grant,,,"[""afolu""]",sector-specific,explicit,closed,sporadic,2020-12-15,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/conservacion-humedales-urbanos-2021/,FPA,,,,,,,,,,0,
36,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2021 – Iniciativas Sustentables para Pueblos Indígenas,FPA Pueblos Indígenas,indigenous community,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2020-11-25,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-pueblos-indigenas-fpa2021/,FPA,,,,,,,,,,0,
37,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2021 – Iniciativas Sustentables Ciudadanas,FPA Ciudadanos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2020-12-15,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-2021/,FPA,,,,,,,,,,0,
38,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2021 – 2º Concurso FPA Rapa Nui Sustentable,FPA Rapa Nui,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2020-10-21,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/2o-concurso-fpa-rapa-nui-sustentable/,FPA,,,,,,,,,,0,
39,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2020 – Iniciativas en Áreas Verdes Comunitarias,FPA Areas verdes/Humedales,community/citizen org,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2019-10-09,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-en-areas-verdes-comunitarias/,FPA,,,,,,,,,,0,
40,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2020 – Iniciativas Sustentables en Establecimientos Educacionales,FPA Educacionales,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2019-10-09,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-en-establecimientos-educacionales-2020/,FPA,,,,,,,,,,0,
41,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2020 – Iniciativas Sustentables Pueblos Indígenas,FPA Pueblos Indígenas,indigenous community,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2019-10-09,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-pueblos-indigenas/,FPA,,,,,,,,,,0,
42,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2020 – Iniciativas Sustentables Ciudadanas,FPA Ciudadanos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,annual,2019-10-09,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-2020/,FPA,,,,,,,,,,0,
43,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2020 – Conservación Áreas Marinas Protegidas,FPA Areas verdes/Humedales,unspecified,grant,,,"[""afolu""]",sector-specific,explicit,closed,sporadic,2019-08-16,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/rapa-nui-sustentable/,FPA,,,,,,,,,,0,
44,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2020 – Educación Ambiental al Aire Libre en la Región Metropolitana,FPA Otros tematicos,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2019-08-16,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-evaluacion/,FPA,,,,,,,,,,0,
45,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPA 2020 – Rapa Nui Sustentable,FPA Rapa Nui,unspecified,grant,,,"[""cross_sector""]",sector-specific,explicit,closed,sporadic,2019-10-02,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-3/,FPA,,,,,,,,,,0,
46,no,cl-mma,Ministerio del Medio Ambiente (MMA),FPR 2025 – Fondo para el Reciclaje 2025,FPR Reciclaje,municipality,grant,,,"[""waste""]",sector-specific,explicit,closed,annual,2024-10-16,,direct application (via fondos.gob.cl),index,2026-06-08,https://fondos.mma.gob.cl/fpr-2025-fondo-para-el-reciclaje-2025/,FPR,,,,,,,,,,0,
