action_id,action_type,action_name,description,intervention_summary,outcome_summary,intervention_type,action_role,cost_investment_needed,timeline_for_implementation,publisher_id,generation_method,name_i18n_en,name_i18n_es,name_i18n_pt,description_i18n_en,description_i18n_es,description_i18n_pt,intervention_summary_i18n_en,intervention_summary_i18n_es,intervention_summary_i18n_pt,outcome_summary_i18n_en,outcome_summary_i18n_es,outcome_summary_i18n_pt,emissions_impact_relationship,emissions_impact_text,emissions_impact_numeric,emissions_methodology,emissions_sector_number,emissions_subsector_number,emissions_gpc_reference_number,co_benefits
icare_0028,mitigation,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings","The city will require or encourage passive cooling design features—including shaded facades, green roofs, natural ventilation, reflective surfaces, and cross-ventilation layouts—to reduce dependence on mechanical air conditioning in residential, commercial, and public buildings. These measures improve indoor comfort, lower energy demand, and enhance urban resilience to heat stress. Implementation can include updating building codes, incentivizing retrofits, and providing design guidance for new developments and renovations. This action complements other green building initiatives and supports long-term climate adaptation through energy efficiency and thermal comfort.",The city requires or encourages passive cooling in building codes and retrofits.,Buildings rely less on mechanical air conditioning through passive cooling.,regulatory,intervention,low,<5 years,icare,expert_reviewed,"Promote passive cooling through natural shading and ventilation in residential, commercial, and public buildings","Promover la refrigeración pasiva mediante sombreado natural y ventilación en edificios residenciales, comerciales y públicos","Promover o resfriamento passivo por meio de sombreamento natural e ventilação em edifícios residenciais, comerciais e públicos","The city will require or encourage passive cooling design features—including shaded facades, green roofs, natural ventilation, reflective surfaces, and cross-ventilation layouts—to reduce dependence on mechanical air conditioning in residential, commercial, and public buildings. These measures improve indoor comfort, lower energy demand, and enhance urban resilience to heat stress. Implementation can include updating building codes, incentivizing retrofits, and providing design guidance for new developments and renovations. This action complements other green building initiatives and supports long-term climate adaptation through energy efficiency and thermal comfort.","La ciudad requerirá o fomentará características de diseño de enfriamiento pasivo, incluyendo fachadas sombreadas, techos verdes, ventilación natural, superficies reflectantes y distribuciones que permitan la ventilación cruzada, para reducir la dependencia del aire acondicionado mecánico en edificios residenciales, comerciales y públicos. Estas medidas mejoran el confort interior, disminuyen la demanda energética y aumentan la resiliencia urbana frente al estrés térmico. La implementación puede incluir la actualización de los códigos de construcción, incentivos para la rehabilitación y la provisión de orientación de diseño para nuevos desarrollos y renovaciones. Esta acción complementa otras iniciativas de construcción sostenible y apoya la adaptación climática a largo plazo mediante la eficiencia energética y el confort térmico.","A cidade exigirá ou incentivará a adoção de elementos de design para resfriamento passivo — incluindo fachadas sombreadas, telhados verdes, ventilação natural, superfícies refletivas e layouts que favoreçam a ventilação cruzada — para reduzir a dependência de ar-condicionado mecânico em edifícios residenciais, comerciais e públicos. Essas medidas melhoram o conforto interno, reduzem a demanda de energia e aumentam a resiliência urbana ao estresse térmico. A implementação pode incluir a atualização dos códigos de construção, o incentivo à modernização de edifícios existentes e a oferta de orientações de design para novos empreendimentos e reformas. Essa ação complementa outras iniciativas de construção sustentável e apoia a adaptação climática de longo prazo por meio da eficiência energética e do conforto térmico.",The city requires or encourages passive cooling in building codes and retrofits.,La ciudad exige o fomenta el enfriamiento pasivo en los códigos de construcción y las modernizaciones.,A cidade exige ou incentiva o resfriamento passivo em códigos de construção e reformas.,Buildings rely less on mechanical air conditioning through passive cooling.,Los edificios dependen menos del aire acondicionado mecánico mediante refrigeración pasiva.,Os edifícios dependem menos do ar condicionado mecânico através do arrefecimento passivo.,positive,low,2,expert review,I,"[1, 2]","[""I.1.1"", ""I.1.2"", ""I.2.1"", ""I.2.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""housing"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0031,mitigation,Capture & Use Biogas at Wastewater Treatment Plants',"Install biogas systems in wastewater treatment facilities to produce renewable energy from organic sludge, reducing emissions and operational costs. Technologies may include sludge digestion, CHP for plant loads, and upgrading to biomethane for vehicles. This action can be financed by development banks and can be scaled by regionalization.",,Wastewater treatment plants capture biogas from organic sludge for energy use.,,outcome,high,5-10 years,icare,expert_reviewed,Capture & Use Biogas at Wastewater Treatment Plants',Captura y uso de biogás en plantas de tratamiento de aguas residuales,Captura e uso de biogás em estações de tratamento de águas residuais,"Install biogas systems in wastewater treatment facilities to produce renewable energy from organic sludge, reducing emissions and operational costs. Technologies may include sludge digestion, CHP for plant loads, and upgrading to biomethane for vehicles. This action can be financed by development banks and can be scaled by regionalization.","Instalar sistemas de biogás en plantas de tratamiento de aguas residuales para producir energía renovable a partir de lodos orgánicos, reduciendo emisiones y costos operativos. Las tecnologías pueden incluir digestión de lodos, cogeneración (CHP) para las cargas de la planta y actualización a biometano para vehículos. Esta acción puede ser financiada por bancos de desarrollo y puede escalarse mediante la regionalización.","Instalar sistemas de biogás em instalações de tratamento de águas residuais para produzir energia renovável a partir de lodo orgânico, reduzindo emissões e custos operacionais. As tecnologias podem incluir digestão de lodo, cogeração (CHP) para cargas da planta e atualização para biometano para veículos. Esta ação pode ser financiada por bancos de desenvolvimento e pode ser ampliada por meio da regionalização.",,,,Wastewater treatment plants capture biogas from organic sludge for energy use.,Las plantas de tratamiento de aguas residuales capturan biogás de lodos orgánicos para uso energético.,As estações de tratamento de águas residuais capturam biogás de lodo orgânico para uso energético.,positive,high,4,expert review,III,[4],"[""III.4.1""]",{}
icare_0033,mitigation,Install biodigesters in rural properties,"Equip rural farms and properties with biodigesters to convert organic waste into biogas and nutrient-rich fertilizers, providing a sustainable energy source.",The city installs biodigesters on rural properties.,Rural organic waste is converted to biogas and fertiliser on-site.,infrastructure,intervention,medium,<5 years,icare,expert_reviewed,Install biodigesters in rural properties,Instalar biodigestores en propiedades rurales,Instalar biodigestores em propriedades rurais,"Equip rural farms and properties with biodigesters to convert organic waste into biogas and nutrient-rich fertilizers, providing a sustainable energy source.","Equipar las granjas y propiedades rurales con biodigestores para convertir los residuos orgánicos en biogás y fertilizantes ricos en nutrientes, proporcionando una fuente de energía sostenible.","Equipar fazendas e propriedades rurais com biodigestores para converter resíduos orgânicos em biogás e fertilizantes ricos em nutrientes, proporcionando uma fonte de energia sustentável.",The city installs biodigesters on rural properties.,La ciudad instala biodigestores en propiedades rurales.,A cidade instala biodigestores em propriedades rurais.,Rural organic waste is converted to biogas and fertiliser on-site.,Los residuos orgánicos rurales se convierten en biogás y fertilizantes in situ.,Os resíduos orgânicos rurais são convertidos em biogás e fertilizantes no local.,positive,very low,1,expert review,I,[5],"[""I.5.1"", ""I.5.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0034,mitigation,Improve Fuel Supply Systems for Industrial Heating,"Enhancing fuel delivery systems in the steel production process by implementing technologies such as pulverized coal injection, improving furnace designs and process controls, and optimizing fuel combustion for heating. Includes energy efficiency measures to reduce emissions from coal and coke used in conventional iron-making, and the potential adoption of alternative reductants like biomass and waste plastics.",,Industrial heating fuel systems shift to more efficient combustion and alternative reductants.,,outcome,low,<5 years,icare,expert_reviewed,Improve Fuel Supply Systems for Industrial Heating,Mejorar los sistemas de suministro de combustible para la calefacción industrial,Melhorar os Sistemas de Abastecimento de Combustível para Aquecimento Industrial,"Enhancing fuel delivery systems in the steel production process by implementing technologies such as pulverized coal injection, improving furnace designs and process controls, and optimizing fuel combustion for heating. Includes energy efficiency measures to reduce emissions from coal and coke used in conventional iron-making, and the potential adoption of alternative reductants like biomass and waste plastics.","Mejorar los sistemas de suministro de combustible en el proceso de producción de acero mediante la implementación de tecnologías como la inyección de carbón pulverizado, la mejora de los diseños de hornos y los controles de proceso, y la optimización de la combustión de combustible para calefacción. Incluye medidas de eficiencia energética para reducir las emisiones provenientes del carbón y el coque utilizados en la fabricación convencional de hierro, así como la posible adopción de reductores alternativos como biomasa y plásticos de desecho.","Aprimoramento dos sistemas de fornecimento de combustível no processo de produção de aço por meio da implementação de tecnologias como a injeção de carvão pulverizado, melhoria dos projetos de fornos e dos controles de processo, e otimização da combustão de combustível para aquecimento. Inclui medidas de eficiência energética para reduzir as emissões provenientes do carvão e do coque utilizados na produção convencional de ferro, além da possível adoção de redutores alternativos como biomassa e resíduos plásticos.",,,,Industrial heating fuel systems shift to more efficient combustion and alternative reductants.,Los sistemas de combustible para calefacción industrial cambian hacia una combustión más eficiente y reductores alternativos.,Os sistemas de combustível de aquecimento industrial mudam para uma combustão mais eficiente e redutores alternativos.,positive,low,2,expert review,IV,[1],"[""IV.1""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0035,mitigation,Enhance industrial energy efficiency processes,Implement advanced technologies and process optimizations in industrial facilities to minimize energy consumption and improve productivity.,The city supports industrial energy-efficiency process upgrades.,Industrial facilities use less energy per unit of output.,infrastructure,intervention,medium,5-10 years,icare,expert_reviewed,Enhance industrial energy efficiency processes,Mejorar los procesos de eficiencia energética industrial,Aprimorar os processos de eficiência energética industrial,Implement advanced technologies and process optimizations in industrial facilities to minimize energy consumption and improve productivity.,Implementar tecnologías avanzadas y optimizaciones de procesos en instalaciones industriales para minimizar el consumo de energía y mejorar la productividad.,Implementar tecnologias avançadas e otimizações de processos em instalações industriais para minimizar o consumo de energia e melhorar a produtividade.,The city supports industrial energy-efficiency process upgrades.,La ciudad apoya las mejoras en los procesos de eficiencia energética industrial.,A cidade apoia atualizações de processos industriais de eficiência energética.,Industrial facilities use less energy per unit of output.,Las instalaciones industriales utilizan menos energía por unidad de producción.,As instalações industriais utilizam menos energia por unidade de produção.,positive,very low,1,expert review,I,[3],"[""I.3.1"", ""I.3.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""habitat"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0040,mitigation,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,"The city will install LED-based (or other low emission technologies), solar-powered streetlights in all neighborhoods, including rural and peri-urban areas, to enhance safety, accessibility, and social inclusion while reducing energy costs and environmental impacts. Where feasible, the action prioritizes solar power generation, especially in areas with limited grid coverage or high carbon intensity. In locations where the electricity grid is already clean, the focus will be on maximizing lighting efficiency through LED retrofits and smart controls. Municipal roles include procuring equipment, establishing public–private financing mechanisms, and contracting long-term maintenance services to ensure system reliability. This action delivers strong co-benefits for communities of all sizes but requires careful planning to address maintenance and operational challenges.",The city installs energy-efficient and solar-powered streetlights.,Street lighting shifts to efficient LED and solar-powered fixtures.,infrastructure,intervention,medium,5-10 years,icare,expert_reviewed,Deploy energy-efficient and solar-powered street lighting across all neighborhoods,Desplegar alumbrado público eficiente en el uso de energía y alimentado por energía solar en todos los vecindarios,Implantar iluminação pública eficiente em termos energéticos e alimentada por energia solar em todos os bairros,"The city will install LED-based (or other low emission technologies), solar-powered streetlights in all neighborhoods, including rural and peri-urban areas, to enhance safety, accessibility, and social inclusion while reducing energy costs and environmental impacts. Where feasible, the action prioritizes solar power generation, especially in areas with limited grid coverage or high carbon intensity. In locations where the electricity grid is already clean, the focus will be on maximizing lighting efficiency through LED retrofits and smart controls. Municipal roles include procuring equipment, establishing public–private financing mechanisms, and contracting long-term maintenance services to ensure system reliability. This action delivers strong co-benefits for communities of all sizes but requires careful planning to address maintenance and operational challenges.","La ciudad instalará farolas basadas en tecnología LED (u otras tecnologías de bajas emisiones) alimentadas por energía solar en todos los barrios, incluyendo zonas rurales y periurbanas, para mejorar la seguridad, la accesibilidad y la inclusión social, al tiempo que se reducen los costos energéticos y los impactos ambientales. Cuando sea posible, la acción priorizará la generación de energía solar, especialmente en áreas con cobertura de red limitada o alta intensidad de carbono. En los lugares donde la red eléctrica ya es limpia, el enfoque será maximizar la eficiencia de la iluminación mediante la modernización con LED y controles inteligentes. Las funciones municipales incluyen la adquisición de equipos, el establecimiento de mecanismos de financiación público-privada y la contratación de servicios de mantenimiento a largo plazo para garantizar la fiabilidad del sistema. Esta acción ofrece importantes co-beneficios para comunidades de todos los tamaños, pero requiere una planificación cuidadosa para abordar los desafíos de mantenimiento y operación.","A cidade instalará postes de iluminação pública com tecnologia LED (ou outras tecnologias de baixa emissão), alimentados por energia solar, em todos os bairros, incluindo áreas rurais e periurbanas, para aumentar a segurança, acessibilidade e inclusão social, ao mesmo tempo em que reduz os custos de energia e os impactos ambientais. Sempre que possível, a ação prioriza a geração de energia solar, especialmente em áreas com cobertura limitada da rede elétrica ou alta intensidade de carbono. Nos locais onde a rede elétrica já é limpa, o foco será maximizar a eficiência da iluminação por meio de retrofit com LED e controles inteligentes. As funções municipais incluem a aquisição de equipamentos, o estabelecimento de mecanismos de financiamento público-privado e a contratação de serviços de manutenção de longo prazo para garantir a confiabilidade do sistema. Esta ação oferece fortes co-benefícios para comunidades de todos os tamanhos, mas exige planejamento cuidadoso para enfrentar desafios de manutenção e operação.",The city installs energy-efficient and solar-powered streetlights.,La ciudad instala farolas energéticamente eficientes y alimentadas por energía solar.,A cidade instala iluminação pública com eficiência energética e alimentada por energia solar.,Street lighting shifts to efficient LED and solar-powered fixtures.,El alumbrado público pasa a ser LED eficientes y dispositivos que funcionan con energía solar.,A iluminação pública muda para luminárias eficientes de LED e alimentadas por energia solar.,positive,very low,1,expert review,I,[1],"[""I.1.1"", ""I.1.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""mobility"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0045,mitigation,"Promote organic, regenerative and agroecological agriculture in rural areas","Promote organic, regenerative and agroecological agricultural principles in the rural areas of the city. This can include reducing reliance on chemical pesticides, improving soil health and promoting carbon sequestration in the soil. Actions could include providing technical training and educational programmes for rural producers, using economic instruments to incentivize agroecological conversion, and creating resources or networks for skill sharing. Work cooperatively with rural producers, including engaging with Indigenous practises and skillsets.","The city provides training, incentives, and resources for agroecological conversion.","Rural agriculture shifts toward organic, regenerative, and agroecological practices.",program,intervention,low,<5 years,icare,expert_reviewed,"Promote organic, regenerative and agroecological agriculture in rural areas","Promover la agricultura orgánica, regenerativa y agroecológica en las zonas rurales","Promover a agricultura orgânica, regenerativa e agroecológica em áreas rurais","Promote organic, regenerative and agroecological agricultural principles in the rural areas of the city. This can include reducing reliance on chemical pesticides, improving soil health and promoting carbon sequestration in the soil. Actions could include providing technical training and educational programmes for rural producers, using economic instruments to incentivize agroecological conversion, and creating resources or networks for skill sharing. Work cooperatively with rural producers, including engaging with Indigenous practises and skillsets.","Promover principios agrícolas orgánicos, regenerativos y agroecológicos en las zonas rurales de la ciudad. Esto puede incluir la reducción de la dependencia de pesticidas químicos, la mejora de la salud del suelo y la promoción de la captura de carbono en el suelo. Las acciones pueden incluir la provisión de capacitación técnica y programas educativos para los productores rurales, el uso de instrumentos económicos para incentivar la conversión agroecológica y la creación de recursos o redes para el intercambio de habilidades. Trabajar de manera cooperativa con los productores rurales, incluyendo la integración de prácticas y conocimientos indígenas.","Promover princípios agrícolas orgânicos, regenerativos e agroecológicos nas áreas rurais da cidade. Isso pode incluir a redução da dependência de pesticidas químicos, a melhoria da saúde do solo e a promoção do sequestro de carbono no solo. As ações podem incluir a oferta de treinamentos técnicos e programas educacionais para produtores rurais, o uso de instrumentos econômicos para incentivar a conversão agroecológica e a criação de recursos ou redes para compartilhamento de habilidades. Trabalhar de forma cooperativa com os produtores rurais, incluindo o engajamento com práticas e conhecimentos indígenas.","The city provides training, incentives, and resources for agroecological conversion.","La ciudad brinda capacitación, incentivos y recursos para la conversión agroecológica.","A cidade oferece treinamento, incentivos e recursos para conversão agroecológica.","Rural agriculture shifts toward organic, regenerative, and agroecological practices.","La agricultura rural avanza hacia prácticas orgánicas, regenerativas y agroecológicas.","A agricultura rural muda para práticas orgânicas, regenerativas e agroecológicas.",positive,low,2,expert review,V,[2],"[""V.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""habitat"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0049,mitigation,Develop regional hubs for renewable energy production,"Establish strategic centers for large-scale renewable energy generation, supporting local economies and providing reliable, clean energy to surrounding areas.",The city participates in developing regional renewable energy hubs.,Regional renewable generation hubs expand.,infrastructure,intervention,high,>10 years,icare,expert_reviewed,Develop regional hubs for renewable energy production,Desarrollar centros regionales para la producción de energía renovable,Desenvolver centros regionais para a produção de energia renovável,"Establish strategic centers for large-scale renewable energy generation, supporting local economies and providing reliable, clean energy to surrounding areas.","Establecer centros estratégicos para la generación de energía renovable a gran escala, apoyando las economías locales y proporcionando energía limpia y confiable a las áreas circundantes.","Estabelecer centros estratégicos para geração de energia renovável em larga escala, apoiando as economias locais e fornecendo energia limpa e confiável para as áreas ao redor.",The city participates in developing regional renewable energy hubs.,La ciudad participa en el desarrollo de centros regionales de energía renovable.,A cidade participa no desenvolvimento de centros regionais de energia renovável.,Regional renewable generation hubs expand.,Se expanden los centros regionales de generación renovable.,Os centros regionais de geração renovável se expandem.,positive,very low,1,expert review,I,[4],"[""I.4.4""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0050,mitigation,Accelerate the adoption of Agroforestry',"Promote agroforestry systems by integrating trees into food cultivation and pasture, increasing biodiversity and carbon sequestration. Agroforestry integrates trees and shrubs with crops and/or livestock to sequester carbon, enhance soil health, reduce soil erosion, improve water quality, and diversify livelihoods. It also offers co-benefits like mitigating regional climates and increasing land productivity while addressing risks like biodiversity and hydrology impacts. Agroforestry systems can include silvopastoral systems, alley cropping, riparian buffer planting. Create financial and technical incentives for integrating agroforestry practices into livestock systems.",,Trees are integrated into food cultivation and pasture systems.,,outcome,medium,5-10 years,icare,expert_reviewed,Accelerate the adoption of Agroforestry',Acelerar la adopción de la agroforestería,Acelerar a adoção da Agrofloresta,"Promote agroforestry systems by integrating trees into food cultivation and pasture, increasing biodiversity and carbon sequestration. Agroforestry integrates trees and shrubs with crops and/or livestock to sequester carbon, enhance soil health, reduce soil erosion, improve water quality, and diversify livelihoods. It also offers co-benefits like mitigating regional climates and increasing land productivity while addressing risks like biodiversity and hydrology impacts. Agroforestry systems can include silvopastoral systems, alley cropping, riparian buffer planting. Create financial and technical incentives for integrating agroforestry practices into livestock systems.","Promover sistemas agroforestales integrando árboles en el cultivo de alimentos y pastizales, aumentando la biodiversidad y la captura de carbono. La agroforestería integra árboles y arbustos con cultivos y/o ganado para secuestrar carbono, mejorar la salud del suelo, reducir la erosión, mejorar la calidad del agua y diversificar los medios de vida. También ofrece co-beneficios como mitigar los climas regionales y aumentar la productividad de la tierra, al tiempo que aborda riesgos como los impactos en la biodiversidad y la hidrología. Los sistemas agroforestales pueden incluir sistemas silvopastoriles, cultivos en callejones y plantación de barreras ribereñas. Crear incentivos financieros y técnicos para integrar prácticas agroforestales en los sistemas ganaderos.","Promover sistemas agroflorestais integrando árvores ao cultivo de alimentos e pastagens, aumentando a biodiversidade e o sequestro de carbono. A agrofloresta integra árvores e arbustos com culturas e/ou pecuária para sequestrar carbono, melhorar a saúde do solo, reduzir a erosão, melhorar a qualidade da água e diversificar os meios de subsistência. Também oferece co-benefícios como a mitigação de climas regionais e o aumento da produtividade da terra, ao mesmo tempo em que aborda riscos como impactos na biodiversidade e na hidrologia. Os sistemas agroflorestais podem incluir sistemas silvipastoris, cultivo em faixas (alley cropping) e plantio de faixas de proteção ripária. Criar incentivos financeiros e técnicos para integrar práticas agroflorestais em sistemas de pecuária.",,,,Trees are integrated into food cultivation and pasture systems.,Los árboles están integrados en los sistemas de cultivo de alimentos y pastos.,As árvores são integradas ao cultivo de alimentos e aos sistemas de pastagem.,positive,medium,3,expert review,V,[2],"[""V.2""]","{""air_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""habitat"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0053,mitigation,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,"Measures to aggregate voluntary waste collectors into small enterprises or associtations, improve working conditions and income in the processes of sorting recyclable and organic waste to contribute for GHG emissions reduction and the increase climate risk resilience. It includes mapping individual and groups of voluntary waste collectors, provide training for collectors in waste management and treatement technologies, economics, business management, and conceptual planning for the operation and administration of the Sorting Unit.","The city supports cooperative formation, training, and expansion into organics management.",Informal waste collectors organise into cooperatives and small enterprises.,program,intervention,medium,<5 years,icare,expert_reviewed,Support cooperatives of voluntary waste collectors to aggregate into small enterprises and expand into organics management,Apoyar a las cooperativas de recolectores voluntarios de residuos para que se agrupen en pequeñas empresas y se expandan hacia la gestión de orgánicos,Apoiar cooperativas de catadores voluntários de resíduos para se agruparem em pequenas empresas e expandirem para a gestão de orgânicos,"Measures to aggregate voluntary waste collectors into small enterprises or associtations, improve working conditions and income in the processes of sorting recyclable and organic waste to contribute for GHG emissions reduction and the increase climate risk resilience. It includes mapping individual and groups of voluntary waste collectors, provide training for collectors in waste management and treatement technologies, economics, business management, and conceptual planning for the operation and administration of the Sorting Unit.","Medidas para agrupar a los recolectores voluntarios de residuos en pequeñas empresas o asociaciones, mejorar las condiciones laborales y los ingresos en los procesos de clasificación de residuos reciclables y orgánicos para contribuir a la reducción de emisiones de GEI y al aumento de la resiliencia frente al riesgo climático. Incluye el mapeo de recolectores voluntarios individuales y en grupo, la provisión de capacitación para los recolectores en gestión y tratamiento de residuos, economía, gestión empresarial y planificación conceptual para la operación y administración de la Unidad de Clasificación.","Medidas para agregar catadores voluntários de resíduos em pequenas empresas ou associações, melhorar as condições de trabalho e a renda nos processos de triagem de resíduos recicláveis e orgânicos para contribuir para a redução das emissões de GEE e o aumento da resiliência ao risco climático. Inclui o mapeamento de catadores voluntários individuais e em grupo, fornecimento de treinamento para catadores em gestão e tecnologias de tratamento de resíduos, economia, gestão de negócios e planejamento conceitual para a operação e administração da Unidade de Triagem.","The city supports cooperative formation, training, and expansion into organics management.","La ciudad apoya la formación, capacitación y expansión de cooperativas en el manejo de productos orgánicos.","A cidade apoia a formação cooperativa, treinamento e expansão na gestão de produtos orgânicos.",Informal waste collectors organise into cooperatives and small enterprises.,Los recolectores informales de residuos se organizan en cooperativas y pequeñas empresas.,Os coletores informais de resíduos organizam-se em cooperativas e pequenas empresas.,positive,low,2,expert review,III,[1],"[""III.1.1""]","{""cost_of_living"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""habitat"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""stakeholder_engagement"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
icare_0064,mitigation,Develop an organic waste management strategy,"Development of an organic waste management strategy with near, mid and long term interventions, integrating aquisition and implementation of organic waste treatment technologies and resources to build the adequate infrastructure to treat the collected waste, such as composting, biodigestion and other technologies, in order to reduce the amount sent to landfills and to achieve maximum organics waste diversion",The city develops an organic waste management strategy.,Organic waste is diverted from landfill to composting and biodigestion.,planning,intervention,medium,5-10 years,icare,expert_reviewed,Develop an organic waste management strategy,Desarrollar una estrategia de gestión de residuos orgánicos,Desenvolver uma estratégia de gestão de resíduos orgânicos,"Development of an organic waste management strategy with near, mid and long term interventions, integrating aquisition and implementation of organic waste treatment technologies and resources to build the adequate infrastructure to treat the collected waste, such as composting, biodigestion and other technologies, in order to reduce the amount sent to landfills and to achieve maximum organics waste diversion","Desarrollo de una estrategia de gestión de residuos orgánicos con intervenciones a corto, medio y largo plazo, integrando la adquisición e implementación de tecnologías y recursos para el tratamiento de residuos orgánicos, con el fin de construir la infraestructura adecuada para tratar los residuos recolectados, como el compostaje, la biodigestión y otras tecnologías, con el objetivo de reducir la cantidad enviada a los vertederos y lograr la máxima desviación de residuos orgánicos.","Desenvolvimento de uma estratégia de gestão de resíduos orgânicos com intervenções de curto, médio e longo prazo, integrando a aquisição e implementação de tecnologias e recursos para o tratamento de resíduos orgânicos, a fim de construir a infraestrutura adequada para tratar os resíduos coletados, como compostagem, biodigestão e outras tecnologias, visando reduzir a quantidade enviada para aterros sanitários e alcançar o máximo desvio de resíduos orgânicos.",The city develops an organic waste management strategy.,La ciudad desarrolla una estrategia de gestión de residuos orgánicos.,A cidade desenvolve uma estratégia de gestão de resíduos orgânicos.,Organic waste is diverted from landfill to composting and biodigestion.,Los residuos orgánicos se desvían de los vertederos al compostaje y la biodigestión.,Os resíduos orgânicos são desviados do aterro para compostagem e biodigestão.,positive,low,2,expert review,III,[2],"[""III.2.1""]","{""habitat"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}, ""water_quality"": {""impactRelationship"": ""positive"", ""impactText"": ""low"", ""impactNumeric"": 1, ""methodology"": ""expert review""}}"
