program,funder,role,cf_score,eligible_actor
FPA 2020 – Conservación Áreas Marinas Protegidas,Ministerio del Medio Ambiente (MMA),applicant,0.8,unspecified
FPA 2020 – Educación Ambiental al Aire Libre en la Región Metropolitana,Ministerio del Medio Ambiente (MMA),applicant,0.8,unspecified
FPA 2020 – Rapa Nui Sustentable,Ministerio del Medio Ambiente (MMA),applicant,0.8,unspecified
Comuna Energética,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",applicant,0.8,municipality
Casa Solar,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",facilitator,0.56,household (municipally facilitated)
FPA 2026 - Proyectos Sustentables Ciudadanos,Ministerio del Medio Ambiente (MMA),referrer,0.3,community/citizen org
FPA 2026 - Proyectos Sustentables en Establecimientos Educacionales,Ministerio del Medio Ambiente (MMA),referrer,0.3,community/citizen org
FPA 2026 - Proyectos Sustentables para Pueblos Indígenas,Ministerio del Medio Ambiente (MMA),referrer,0.3,indigenous community
FPA Extraordinario Rapa Nui 2026,Ministerio del Medio Ambiente (MMA),referrer,0.3,indigenous community
FPA 2025 - Alto del Carmen: Ecosistemas Altoandinos – Humedales y Criósfera,Ministerio del Medio Ambiente (MMA),referrer,0.3,research/university + ngo
FPA 2025 - Alto del Carmen: Ecosistemas Altoandinos – Biodiversidad,Ministerio del Medio Ambiente (MMA),referrer,0.3,research/university + ngo
FPA 2023 – Proyectos Sustentables para Pueblos Indígenas,Ministerio del Medio Ambiente (MMA),referrer,0.3,indigenous community
FPA 2022 – Emprendimientos Verdes para Comunidades Indígenas,Ministerio del Medio Ambiente (MMA),referrer,0.3,indigenous community
FPA 2022 – Áreas Verdes Comunitarias,Ministerio del Medio Ambiente (MMA),referrer,0.3,community/citizen org
FPA 2022 – Iniciativas Sustentables para Fundaciones y Corporaciones,Ministerio del Medio Ambiente (MMA),referrer,0.3,community/citizen org
FPA 2022 – Iniciativas Sustentables para Pueblos Indígenas,Ministerio del Medio Ambiente (MMA),referrer,0.3,indigenous community
FPA 2021 – Iniciativas Sustentables Fundaciones y Corporaciones,Ministerio del Medio Ambiente (MMA),referrer,0.3,community/citizen org
FPA 2021 – Áreas Verdes Comunitarias,Ministerio del Medio Ambiente (MMA),referrer,0.3,community/citizen org
FPA 2021 – Iniciativas Sustentables para Pueblos Indígenas,Ministerio del Medio Ambiente (MMA),referrer,0.3,indigenous community
FPA 2020 – Iniciativas en Áreas Verdes Comunitarias,Ministerio del Medio Ambiente (MMA),referrer,0.3,community/citizen org
FPA 2020 – Iniciativas Sustentables Pueblos Indígenas,Ministerio del Medio Ambiente (MMA),referrer,0.3,indigenous community
"Recambio de Calefactores (programa permanente, comunas con PDA)",Ministerio del Medio Ambiente (MMA),referrer,0.3,household
Fondo de Acceso a la Energía (FAE),"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",referrer,0.3,community/citizen org (rol público comunitario >5 yrs; not municipalities directly)
FNDR 8% — Subvención a actividades (línea Medio Ambiente y educación ambiental),Gobiernos Regionales,referrer,0.3,non-profit organisations (legal status >=2 yrs; NOT municipalities)
FRPD — Fondo Regional para la Productividad y el Desarrollo,Gobiernos Regionales,referrer,0.3,legal persons / firms / institutions (productive investment; varies by region)
Crédito Verde,Corporación de Fomento de la Producción (CORFO),referrer,0.3,private firm (any size; no annual-sales cap)
Programa Expande,Corporación de Fomento de la Producción (CORFO),referrer,0.3,private firm / growth-stage venture
Garantías / Coberturas CORFO (e.g. FOGAIN),Corporación de Fomento de la Producción (CORFO),referrer,0.3,private firm / SME
Financiamiento Hidrógeno Verde (facilidades / Fondo H2V),Corporación de Fomento de la Producción (CORFO),referrer,0.3,green-hydrogen project developers / firms
Innova Chile — I+D e innovación (clean-tech),Corporación de Fomento de la Producción (CORFO),referrer,0.3,private firm / entrepreneur
